sample_name	tissue	treatment	plate
Chrom_40_1_b_A1	body	control	Chrom_40_1_b
Chrom_40_1_b_A2	body	control	Chrom_40_1_b
Chrom_40_1_b_A3	body	control	Chrom_40_1_b
Chrom_40_1_b_A4	body	control	Chrom_40_1_b
Chrom_40_1_b_A5	body	control	Chrom_40_1_b
Chrom_40_1_b_A6	body	control	Chrom_40_1_b
Chrom_40_1_b_A7	body	control	Chrom_40_1_b
Chrom_40_1_b_A8	body	control	Chrom_40_1_b
Chrom_40_1_b_A9	body	control	Chrom_40_1_b
Chrom_40_1_b_A10	body	control	Chrom_40_1_b
Chrom_40_1_b_A11	body	control	Chrom_40_1_b
Chrom_40_1_b_A12	body	control	Chrom_40_1_b
Chrom_40_1_b_B1	body	control	Chrom_40_1_b
Chrom_40_1_b_B2	body	control	Chrom_40_1_b
Chrom_40_1_b_B3	body	control	Chrom_40_1_b
Chrom_40_1_b_B4	body	control	Chrom_40_1_b
Chrom_40_1_b_B5	body	control	Chrom_40_1_b
Chrom_40_1_b_B6	body	control	Chrom_40_1_b
Chrom_40_1_b_B7	body	control	Chrom_40_1_b
Chrom_40_1_b_B8	body	control	Chrom_40_1_b
Chrom_40_1_b_B9	body	control	Chrom_40_1_b
Chrom_40_1_b_B10	body	control	Chrom_40_1_b
Chrom_40_1_b_B11	body	control	Chrom_40_1_b
Chrom_40_1_b_B12	body	control	Chrom_40_1_b
Chrom_40_1_b_C1	body	control	Chrom_40_1_b
Chrom_40_1_b_C2	body	control	Chrom_40_1_b
Chrom_40_1_b_C3	body	control	Chrom_40_1_b
Chrom_40_1_b_C4	body	control	Chrom_40_1_b
Chrom_40_1_b_C5	body	control	Chrom_40_1_b
Chrom_40_1_b_C6	body	control	Chrom_40_1_b
Chrom_40_1_b_C7	body	control	Chrom_40_1_b
Chrom_40_1_b_C8	body	control	Chrom_40_1_b
Chrom_40_1_b_C9	body	control	Chrom_40_1_b
Chrom_40_1_b_C10	body	control	Chrom_40_1_b
Chrom_40_1_b_C11	body	control	Chrom_40_1_b
Chrom_40_1_b_C12	body	control	Chrom_40_1_b
Chrom_40_1_b_D1	body	control	Chrom_40_1_b
Chrom_40_1_b_D2	body	control	Chrom_40_1_b
Chrom_40_1_b_D3	body	control	Chrom_40_1_b
Chrom_40_1_b_D4	body	control	Chrom_40_1_b
Chrom_40_1_b_D5	body	control	Chrom_40_1_b
Chrom_40_1_b_D6	body	control	Chrom_40_1_b
Chrom_40_1_b_D7	body	control	Chrom_40_1_b
Chrom_40_1_b_D8	body	control	Chrom_40_1_b
Chrom_40_1_b_D9	body	control	Chrom_40_1_b
Chrom_40_1_b_D10	body	control	Chrom_40_1_b
Chrom_40_1_b_D11	body	control	Chrom_40_1_b
Chrom_40_1_b_D12	body	control	Chrom_40_1_b
Chrom_40_1_b_E1	body	control	Chrom_40_1_b
Chrom_40_1_b_E2	body	control	Chrom_40_1_b
Chrom_40_1_b_E3	body	control	Chrom_40_1_b
Chrom_40_1_b_E4	body	control	Chrom_40_1_b
Chrom_40_1_b_E5	body	control	Chrom_40_1_b
Chrom_40_1_b_E6	body	control	Chrom_40_1_b
Chrom_40_1_b_E7	body	control	Chrom_40_1_b
Chrom_40_1_b_E8	body	control	Chrom_40_1_b
Chrom_40_1_b_E9	body	control	Chrom_40_1_b
Chrom_40_1_b_E10	body	control	Chrom_40_1_b
Chrom_40_1_b_E11	body	control	Chrom_40_1_b
Chrom_40_1_b_E12	body	control	Chrom_40_1_b
Chrom_40_1_b_F1	body	control	Chrom_40_1_b
Chrom_40_1_b_F2	body	control	Chrom_40_1_b
Chrom_40_1_b_F3	body	control	Chrom_40_1_b
Chrom_40_1_b_F4	body	control	Chrom_40_1_b
Chrom_40_1_b_F5	body	control	Chrom_40_1_b
Chrom_40_1_b_F6	body	control	Chrom_40_1_b
Chrom_40_1_b_F7	body	control	Chrom_40_1_b
Chrom_40_1_b_F8	body	control	Chrom_40_1_b
Chrom_40_1_b_F9	body	control	Chrom_40_1_b
Chrom_40_1_b_F10	body	control	Chrom_40_1_b
