sample_name	tissue	treatment	plate
Chrom_40_1_h_A12	head	control	Chrom_40_1_h
Chrom_40_1_b_A1	body	control	Chrom_40_1_b
Chrom_40_1_h_A11	head	control	Chrom_40_1_h
Chrom_40_1_b_A2	body	control	Chrom_40_1_b
Chrom_40_1_h_A10	head	control	Chrom_40_1_h
Chrom_40_1_b_A3	body	control	Chrom_40_1_b
Chrom_40_1_h_A9	head	control	Chrom_40_1_h
Chrom_40_1_b_A4	body	control	Chrom_40_1_b
Chrom_40_1_h_A8	head	control	Chrom_40_1_h
Chrom_40_1_b_A5	body	control	Chrom_40_1_b
Chrom_40_1_h_A7	head	control	Chrom_40_1_h
Chrom_40_1_b_A6	body	control	Chrom_40_1_b
Chrom_40_1_h_A6	head	control	Chrom_40_1_h
Chrom_40_1_b_A7	body	control	Chrom_40_1_b
Chrom_40_1_h_A5	head	control	Chrom_40_1_h
Chrom_40_1_b_A8	body	control	Chrom_40_1_b
Chrom_40_1_h_A4	head	control	Chrom_40_1_h
Chrom_40_1_b_A9	body	control	Chrom_40_1_b
Chrom_40_1_h_A3	head	control	Chrom_40_1_h
Chrom_40_1_b_A10	body	control	Chrom_40_1_b
Chrom_40_1_h_A2	head	control	Chrom_40_1_h
Chrom_40_1_b_A11	body	control	Chrom_40_1_b
Chrom_40_1_h_A1	head	control	Chrom_40_1_h
Chrom_40_1_b_A12	body	control	Chrom_40_1_b
Chrom_40_1_h_B12	head	control	Chrom_40_1_h
Chrom_40_1_b_B1	body	control	Chrom_40_1_b
Chrom_40_1_h_B11	head	control	Chrom_40_1_h
Chrom_40_1_b_B2	body	control	Chrom_40_1_b
Chrom_40_1_h_B10	head	control	Chrom_40_1_h
Chrom_40_1_b_B3	body	control	Chrom_40_1_b
Chrom_40_1_h_B9	head	control	Chrom_40_1_h
Chrom_40_1_b_B4	body	control	Chrom_40_1_b
Chrom_40_1_h_B8	head	control	Chrom_40_1_h
Chrom_40_1_b_B5	body	control	Chrom_40_1_b
Chrom_40_1_h_B7	head	control	Chrom_40_1_h
Chrom_40_1_b_B6	body	control	Chrom_40_1_b
Chrom_40_1_h_B6	head	control	Chrom_40_1_h
Chrom_40_1_b_B7	body	control	Chrom_40_1_b
Chrom_40_1_h_B5	head	control	Chrom_40_1_h
Chrom_40_1_b_B8	body	control	Chrom_40_1_b
Chrom_40_1_h_B4	head	control	Chrom_40_1_h
Chrom_40_1_b_B9	body	control	Chrom_40_1_b
Chrom_40_1_h_B3	head	control	Chrom_40_1_h
Chrom_40_1_b_B10	body	control	Chrom_40_1_b
Chrom_40_1_h_B2	head	control	Chrom_40_1_h
Chrom_40_1_b_B11	body	control	Chrom_40_1_b
Chrom_40_1_h_B1	head	control	Chrom_40_1_h
Chrom_40_1_b_B12	body	control	Chrom_40_1_b
Chrom_40_1_h_C12	head	control	Chrom_40_1_h
Chrom_40_1_b_C1	body	control	Chrom_40_1_b
Chrom_40_1_h_C11	head	control	Chrom_40_1_h
