sample_name	treatment	tissue	plate	date
Chrom_40_1_b_A1 control body 40_1_b 8_4_22
Chrom_40_1_b_A10 control body 40_1_b 8_4_22
Chrom_40_1_b_A11 control body 40_1_b 8_4_22
Chrom_40_1_b_A12 control body 40_1_b 8_4_22
Chrom_40_1_b_A2 control body 40_1_b 8_4_22
Chrom_40_1_b_A3 control body 40_1_b 8_4_22
Chrom_40_1_b_A4 control body 40_1_b 8_4_22
Chrom_40_1_b_A5 control body 40_1_b 8_4_22
Chrom_40_1_b_A6 control body 40_1_b 8_4_22
Chrom_40_1_b_A7 control body 40_1_b 8_4_22
Chrom_40_1_b_A8 control body 40_1_b 8_4_22
Chrom_40_1_b_A9 control body 40_1_b 8_4_22
Chrom_40_1_b_B1 control body 40_1_b 8_4_22
Chrom_40_1_b_B10 control body 40_1_b 8_4_22
Chrom_40_1_b_B11 control body 40_1_b 8_4_22
Chrom_40_1_b_B12 control body 40_1_b 8_4_22
Chrom_40_1_b_B2 control body 40_1_b 8_4_22
Chrom_40_1_b_B3 control body 40_1_b 8_4_22
Chrom_40_1_b_B4 control body 40_1_b 8_4_22
Chrom_40_1_b_B5 control body 40_1_b 8_4_22
Chrom_40_1_b_B6 control body 40_1_b 8_4_22
Chrom_40_1_b_B7 control body 40_1_b 8_4_22
Chrom_40_1_b_B8 control body 40_1_b 8_4_22
Chrom_40_1_b_B9 control body 40_1_b 8_4_22
Chrom_40_1_b_C1 control body 40_1_b 8_4_22
Chrom_40_1_b_C10 control body 40_1_b 8_4_22
Chrom_40_1_b_C11 control body 40_1_b 8_4_22
Chrom_40_1_b_C12 control body 40_1_b 8_4_22
Chrom_40_1_b_C2 control body 40_1_b 8_4_22
Chrom_40_1_b_C3 control body 40_1_b 8_4_22
Chrom_40_1_b_C4 control body 40_1_b 8_4_22
Chrom_40_1_b_C5 control body 40_1_b 8_4_22
Chrom_40_1_b_C6 control body 40_1_b 8_4_22
Chrom_40_1_b_C7 control body 40_1_b 8_4_22
Chrom_40_1_b_C8 control body 40_1_b 8_4_22
Chrom_40_1_b_C9 control body 40_1_b 8_4_22
Chrom_40_1_b_D1 control body 40_1_b 8_4_22
Chrom_40_1_b_D10 control body 40_1_b 8_4_22
Chrom_40_1_b_D11 control body 40_1_b 8_4_22
Chrom_40_1_b_D12 control body 40_1_b 8_4_22
Chrom_40_1_b_D2 control body 40_1_b 8_4_22
Chrom_40_1_b_D3 control body 40_1_b 8_4_22
Chrom_40_1_b_D4 control body 40_1_b 8_4_22
Chrom_40_1_b_D5 control body 40_1_b 8_4_22
Chrom_40_1_b_D6 control body 40_1_b 8_4_22
Chrom_40_1_b_D7 control body 40_1_b 8_4_22
Chrom_40_1_b_D8 control body 40_1_b 8_4_22
Chrom_40_1_b_D9 control body 40_1_b 8_4_22
Chrom_40_1_b_E1 control body 40_1_b 8_4_22
Chrom_40_1_b_E10 control body 40_1_b 8_4_22
Chrom_40_1_b_E11 control body 40_1_b 8_4_22
Chrom_40_1_b_E12 control body 40_1_b 8_4_22
Chrom_40_1_b_E2 control body 40_1_b 8_4_22
Chrom_40_1_b_E3 control body 40_1_b 8_4_22
Chrom_40_1_b_E4 control body 40_1_b 8_4_22
Chrom_40_1_b_E5 control body 40_1_b 8_4_22
Chrom_40_1_b_E6 control body 40_1_b 8_4_22
Chrom_40_1_b_E7 control body 40_1_b 8_4_22
Chrom_40_1_b_E8 control body 40_1_b 8_4_22
Chrom_40_1_b_E9 control body 40_1_b 8_4_22
Chrom_40_1_b_F1 control body 40_1_b 8_4_22
Chrom_40_1_b_F10 control body 40_1_b 8_4_22
Chrom_40_1_b_F11 control body 40_1_b 8_4_22
Chrom_40_1_b_F12 control body 40_1_b 8_4_22
Chrom_40_1_b_F2 control body 40_1_b 8_4_22
Chrom_40_1_b_F3 control body 40_1_b 8_4_22
