sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
Chrom_40_1_b_A1	Chrom_40_1_b_A1	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A1-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A1-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A10	Chrom_40_1_b_A10	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A10-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A10-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A11	Chrom_40_1_b_A11	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A11-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A11-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A12	Chrom_40_1_b_A12	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A12-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A12-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A2	Chrom_40_1_b_A2	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A2-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A2-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A3	Chrom_40_1_b_A3	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A3-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A3-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A4	Chrom_40_1_b_A4	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A4-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A4-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A5	Chrom_40_1_b_A5	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A5-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A5-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A6	Chrom_40_1_b_A6	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A6-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A6-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
Chrom_40_1_b_A7	Chrom_40_1_b_A7	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A7-read-1.fastq.gz	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_b_A7-read-4.fastq.gz		-a file:/Genomics/argo/users/ed7982/crvi-analysis/acute/rna/AdaptersTrim.fasta --poly-a --quality-cutoff 10,0 -e 1 --trim-n --nextseq-trim=20 -m 20 --overlap 2	none
