sample_name	tissue	treatment	plate
Chrom_50_3_b_E9	body	crvi	Chrom_50_3_b
Chrom_40_4_b_A11	body	control	Chrom_40_4_b
Chrom_50_4_b_C6	body	crvi	Chrom_50_4_b
Chrom_40_4_b_D4	body	control	Chrom_40_4_b
Chrom_40_3_b_D7	body	control	Chrom_40_3_b
Chrom_50_4_b_C11	body	crvi	Chrom_50_4_b
Chrom_40_4_b_C6	body	control	Chrom_40_4_b
Chrom_40_3_b_C4	body	control	Chrom_40_3_b
Chrom_50_3_b_F5	body	crvi	Chrom_50_3_b
Chrom_40_4_b_H7	body	control	Chrom_40_4_b
Chrom_50_3_b_C3	body	crvi	Chrom_50_3_b
Chrom_40_2_b_C12	body	control	Chrom_40_2_b
Chrom_40_1_b_A11	body	control	Chrom_40_1_b
Chrom_50_4_b_E8	body	crvi	Chrom_50_4_b
Chrom_50_1_b_E10	body	crvi	Chrom_50_1_b
Chrom_40_4_b_B2	body	control	Chrom_40_4_b
Chrom_50_4_b_B9	body	crvi	Chrom_50_4_b
Chrom_50_3_b_G7	body	crvi	Chrom_50_3_b
Chrom_50_2_b_G8	body	crvi	Chrom_50_2_b
Chrom_40_1_b_E7	body	control	Chrom_40_1_b
Chrom_40_1_b_B5	body	control	Chrom_40_1_b
Chrom_40_1_b_E5	body	control	Chrom_40_1_b
Chrom_40_4_b_H9	body	control	Chrom_40_4_b
Chrom_50_3_b_E4	body	crvi	Chrom_50_3_b
