sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
Chrom_50_3_b_E9	Chrom_50_3_b_E9	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_3_b_E9-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_4_b_A11	Chrom_40_4_b_A11	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_4_b_A11-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_4_b_C6	Chrom_50_4_b_C6	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_4_b_C6-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_4_b_D4	Chrom_40_4_b_D4	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_4_b_D4-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_3_b_D7	Chrom_40_3_b_D7	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_3_b_D7-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_4_b_C11	Chrom_50_4_b_C11	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_4_b_C11-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_4_b_C6	Chrom_40_4_b_C6	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_4_b_C6-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_3_b_C4	Chrom_40_3_b_C4	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_3_b_C4-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_3_b_F5	Chrom_50_3_b_F5	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_3_b_F5-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_4_b_H7	Chrom_40_4_b_H7	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_4_b_H7-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
