sample_name	treatment	tissue	plate	date
Chrom_50_3_h_F4	3mM	head	50_3_h	8_5_22
Chrom_50_3_h_F5	3mM	head	50_3_h	8_5_22
Chrom_50_3_h_F6	3mM	head	50_3_h	8_5_22
Chrom_50_3_h_F7	3mM	head	50_3_h	8_5_22
Chrom_50_4_h_F6	3mM	head	50_4_h	8_5_22
Chrom_50_4_h_F7	3mM	head	50_4_h	8_5_22
Chrom_50_4_h_F8	3mM	head	50_4_h	8_5_22
Chrom_50_4_h_F9	3mM	head	50_4_h	8_5_22
Chrom_50_4_h_G1	3mM	head	50_4_h	8_5_22
Chrom_40_1_h_D2	control	head	40_1_h	8_8_22
Chrom_40_1_h_D3	control	head	40_1_h	8_8_22
Chrom_40_1_h_D4	control	head	40_1_h	8_8_22
Chrom_40_1_h_D5	control	head	40_1_h	8_8_22
Chrom_40_2_h_F4	control	head	40_2_h	8_8_22
Chrom_40_2_h_F5	control	head	40_2_h	8_8_22
Chrom_40_2_h_F6	control	head	40_2_h	8_8_22
Chrom_40_2_h_F7	control	head	40_2_h	8_8_22
