sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
Chrom_50_1_h_D1	Chrom_50_1_h_D1	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_1_h_D1-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_2_h_A2	Chrom_40_2_h_A2	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_2_h_A2-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_3_h_D1	Chrom_40_3_h_D1	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_3_h_D1-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_1_h_G1	Chrom_40_1_h_G1	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_h_G1-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_2_h_C3	Chrom_40_2_h_C3	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_2_h_C3-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_3_h_E2	Chrom_50_3_h_E2	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_3_h_E2-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_4_h_A9	Chrom_50_4_h_A9	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_4_h_A9-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_2_h_G8	Chrom_40_2_h_G8	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_2_h_G8-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_40_1_h_H9	Chrom_40_1_h_H9	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_40_1_h_H9-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
Chrom_50_1_h_E6	Chrom_50_1_h_E6	/Genomics/ayroleslab2/scott/git/chromium/data/acute/rna/2427__Chrom_50_1_h_E6-read-1.fastq.gz			-a file:/Genomics/argo/users/swwolf/git/crvi-acute/rna/config/adapters.fasta -m 20 --nextseq-trim=20 --overlap 2 --trim-n -e 0.05	none
