sample_name	tissue	treatment	plate	Zhat1	Zhat2	Zhat3	Zhat4
Chrom_40_1_b_D7	body	control	Chrom_40_1_b	3.86476326448091	-2.78366948012692	3.29848210457394	3.03205414594846
Chrom_40_2_b_A5	body	control	Chrom_40_2_b	3.4738624083986	-3.67878870513142	0.468414922559403	1.77989998021533
Chrom_50_4_b_B6	body	crvi	Chrom_50_4_b	6.77112421416611	-5.06986363713442	3.22702479405599	2.16338192098359
Chrom_40_3_b_C9	body	control	Chrom_40_3_b	4.21568589439765	-2.51439554565555	4.2958478637876	1.77537139090071
Chrom_40_4_b_D9	body	control	Chrom_40_4_b	3.83992751705159	-2.75214043227298	3.73671171692529	2.05864501826198
Chrom_50_3_b_F10	body	crvi	Chrom_50_3_b	2.9832659673936	-4.52446708781649	3.09317812541335	3.1859726156993
Chrom_40_4_b_H2	body	control	Chrom_40_4_b	4.10814051115609	-2.81350125780722	3.85588001821464	1.68505925059671
Chrom_40_2_b_F3	body	control	Chrom_40_2_b	4.6188602035924	-3.579492718325	1.22129321181523	0.170967615635538
Chrom_50_4_b_D5	body	crvi	Chrom_50_4_b	6.88197202251195	-5.30064538303726	3.44879162876374	2.40284657488165
Chrom_50_4_b_A6	body	crvi	Chrom_50_4_b	6.80601432669808	-5.1479408928068	3.17619244475628	2.41714461989347
Chrom_40_1_b_G10	body	control	Chrom_40_1_b	4.06623081113831	-3.17513201196971	2.60659484887338	1.5424509136056
Chrom_40_4_b_A12	body	control	Chrom_40_4_b	5.21430126640798	-1.46755441253695	-1.11840953499174	3.57709562046097
Chrom_40_4_b_F6	body	control	Chrom_40_4_b	3.7129713316253	-5.870586177414	1.87565047076235	-0.968047424014817
Chrom_50_2_b_C12	body	crvi	Chrom_50_2_b	6.6198356438257	-3.91143949426549	2.55864332672227	1.26207853687899
Chrom_40_2_b_E8	body	control	Chrom_40_2_b	3.68147395624157	-3.09822659350473	2.29962622878873	1.32943860510581
Chrom_50_4_b_A12	body	crvi	Chrom_50_4_b	3.9469050285437	-4.72616552739979	3.76398552984137	1.78265159535466
Chrom_40_3_b_C12	body	control	Chrom_40_3_b	4.15926812779513	-3.02528660273553	4.16492005089091	1.38066218898839
Chrom_40_2_b_G5	body	control	Chrom_40_2_b	6.14764439321206	-3.77037790325366	1.81136961859036	1.59349078424897
Chrom_50_1_b_G5	body	crvi	Chrom_50_1_b	4.69511647168742	-2.88943034992529	3.14349793608369	1.31491250416207
Chrom_50_1_b_E1	body	crvi	Chrom_50_1_b	5.21981656563389	-2.57911549590771	2.92869182017593	-0.00771092034967548
Chrom_50_1_b_F12	body	crvi	Chrom_50_1_b	4.69656071338049	-2.39893139397959	2.36695769382213	1.8759341994938
Chrom_50_3_b_G4	body	crvi	Chrom_50_3_b	3.01783249396364	-3.95919819582136	3.27182020869649	3.60847890292217
Chrom_40_2_b_D12	body	control	Chrom_40_2_b	4.6490367608646	-3.9288942472018	2.91531906957145	0.616291063977588
