Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
Abl,head,0.14265012106761032,0.20790967709448926,0.20247693796667204,0.5276242749828672,0.47237572501713276,0.22364216759155384,0.2698987870504607,0.14885324130748423,0.0772984601397803,0.16017500284733022
Ace,head,0.10107955678329628,0.19300034501088217,0.22765945796910725,0.4770311713311314,0.5229688286688686,0.2526392582314496,0.2953093706997614,0.1686883419779651,0.05478609674440047,0.14648263622525012
Acph-1,head,0.3472969824420229,0.24201639445787052,0.09884873648618162,0.7373620700548318,0.2626379299451682,0.10561167843800073,0.1637891934589866,0.07003933259055367,0.19823294128092914,0.20332992607374517
nAChRalpha1,head,-0.23646042291574743,0.2644648862890393,0.5921993278020785,0.18401838564793566,0.4078006721979215,0.18181475048576184,0.22378228654998583,0.10829541279719987,-0.1178784221250397,0.19742331317784104
nAChRbeta1,head,0.37198435251971684,0.19157342500149488,0.039632787493582275,0.861996882772669,0.13800311722733108,0.046506172047641556,0.0983703297337488,0.035214761329676235,0.25963231061612,0.18204416118710476
Act5C,head,0.6397097390892461,0.13536581627443497,5.016510215012926e-6,0.9999587846722107,4.1215327789353214e-5,6.926511894843276e-6,3.619881757434029e-5,6.2442655815609095e-6,0.5607344352450581,0.12766689388561264
Act42A,head,0.09830670443362877,0.19971968850785096,0.23643286562218363,0.4708146570602015,0.5291853429397985,0.25633428740023373,0.29275247731761483,0.16705739457657587,0.052625279017377125,0.15003070796696183
Act57B,head,-0.4686991543534931,0.20395942206304085,0.9201900640134304,0.02190318381315949,0.0798099359865696,0.022404362342746446,0.05790675217341011,0.017227839059274837,-0.33254350527712334,0.19140997513677133
Act79B,head,-0.02395890532425815,0.2847745305829615,0.3882685395658833,0.34972768989804487,0.6117314604341166,0.30618707871656103,0.26200377053607177,0.1412506157165111,-0.010735339524356114,0.19073324235448388
Act87E,head,-0.5998508852262128,0.24637687116426052,0.9283997451937216,0.021585335563532787,0.07160025480627841,0.019517821642668156,0.05001491924274562,0.014209442177136978,-0.38708472831796503,0.21874479219012027
Gart,head,0.04461252457787923,0.2311216413546232,0.3107755198410261,0.40219393336015513,0.5978060666398449,0.29717319599138564,0.28703054679881884,0.1632928869881727,0.022261193918962658,0.1638807744810321
adp,head,-0.022091405239390127,0.26599618159045185,0.3841469893611827,0.3455599177838891,0.6158530106388174,0.30917674217983443,0.27029309285492825,0.1491100623519579,-0.010295600536319354,0.1816994211792678
Ald1,head,0.20608892115801858,0.12976376105524662,0.05617037293364613,0.7680108777418111,0.23198912225818888,0.0908860897276298,0.17581874932454275,0.07640991969298,0.1495160674793301,0.1303927955702539
Amy-p,head,0.06390788565641436,0.46814598806555413,0.3653843703230853,0.4168817951448193,0.5831182048551807,0.28855921321574696,0.21773383453209544,0.10420726887168694,0.018394379406434794,0.2513639693354028
AnxB9,head,-0.45831061980651944,0.18565955592776193,0.94403899266678315,0.013818090882323213,0.05596100733321685,0.014453780223434574,0.04214291645089364,0.01141723767179492,-0.34512211508914997,0.17735148904037953
aop,head,-0.298051948450325,0.2550846290945527,0.666147831920416,0.13811098224806928,0.33385216807958396,0.14231796826425183,0.19574118583151467,0.08940435683554172,-0.15797549250474327,0.20180334771447167
RpLP0,head,1.0612730382988835,0.17334270699925958,1.6253945325456588e-8,0.9999998668849174,1.3311508267572045e-7,1.820470645411346e-8,1.1686113735026386e-7,1.580261033790005e-8,0.8796105755575404,0.1647997099688016
Appl,head,0.08635082885745282,0.20691566971794592,0.25423779663334534,0.4529337881238503,0.5470662118761497,0.2665402936455501,0.29282841524280434,0.16711487805402472,0.04541756126645902,0.1529094469589598
Aprt,head,-0.4092584337090033,0.28095175824713065,0.7356607309419807,0.10691031473506502,0.2643392690580193,0.10686679843016418,0.15742895432295428,0.06672320198580478,-0.21247890199676692,0.22312553067012172
bru1,head,0.40031288704861145,0.1876750047271493,0.027592970553488458,0.897750801089857,0.102249198910143,0.031725116840160106,0.07465622835665454,0.024393149002561575,0.28952336867200745,0.18008311506183405
Argk1,head,0.3659491981999028,0.13933797785442023,0.00708002224032122,0.9630368938491339,0.03696310615086606,0.009159170335710854,0.02988308391054484,0.007686761905381616,0.30741577635645917,0.1389171542462004
arm,head,-0.7698078413498681,0.26697915260132354,0.9647688548833274,0.010212510494623524,0.03523114511667258,0.008703504498915734,0.025018634622049056,0.006260379495793867,-0.4861304729547033,0.22967367391385257
Arr1,head,0.5812550737348303,0.14382907252110325,9.013030234966788e-5,0.999378115484666,6.218845153338538e-4,1.0816223288399143e-4,5.317542129841859e-4,9.048121387509356e-5,0.5005549459094901,0.1347925120590042
Arr2,head,0.7282376391222027,0.1379515092028414,4.239541283286777e-7,0.9999962503599235,3.749640076567996e-6,8.151337253604005e-7,3.325685948239318e-6,7.141868759754051e-7,0.6366877524123065,0.1302338971719952
ash2,head,-0.311361067897749,0.23556915303207493,0.7085252361739202,0.11130565875383014,0.29147476382607984,0.12039867389860594,0.1801691050722497,0.07923329029867146,-0.17706191607488414,0.19648887204237458
asp,head,-0.006311766949853137,0.3270881203228901,0.38060516057246574,0.3720945067679531,0.6193948394275343,0.311275283000582,0.24730033265958115,0.12753352427790002,-0.002568440883215284,0.20865813308585585
awd,head,-0.14407468888244024,0.21493693631259242,0.5249629146447072,0.20781497653835262,0.47503708535529277,0.22587480883797437,0.26722210881694014,0.14655633329689033,-0.0770093001789528,0.16395714927756588
b,head,-0.6670205499144142,0.2794374065265073,0.9135112997496776,0.028472760013741223,0.0864887002503224,0.025407016169732757,0.05801594023658118,0.017323862715505532,-0.39177970047081256,0.23772461255807867
baz,head,-0.4343502050500123,0.26554465261054316,0.7814791758603843,0.08234215235827119,0.2185208241396157,0.0837405641711553,0.13617867178134452,0.05424107798068876,-0.24112628412030965,0.22070573689490589
ben,head,0.4858665906096111,0.17719324658991442,0.006940231343256543,0.969022604333544,0.030977395666455968,0.007463040015732337,0.024037164323199425,0.006070431268246692,0.3802446909057978,0.16851170973303067
bic,head,0.7329297285337963,0.13182604138306364,9.154491229652333e-8,0.9999991200038183,8.799961816693077e-7,2.3404999468422698e-7,7.884512693727844e-7,2.0569529597241018e-7,0.6480058834497915,0.12509293839036562
BicD,head,-0.18766000960867535,0.2083206994367024,0.5892171610483741,0.16528371311383427,0.41078283895162593,0.18439599767798373,0.24549912583779165,0.12593055897509406,-0.10501987053560312,0.16708710364617982
boss,head,-0.20574576890371743,0.2522823853248034,0.5706108720366174,0.19377706641452258,0.4293891279633826,0.19564397213373497,0.23561206154886,0.11740720289898889,-0.10428587870682794,0.1889038953598694
brm,head,-0.14423189352263988,0.24054423933403526,0.510638720226716,0.22960991973046313,0.48936127977328403,0.23370537660608007,0.2597513600428209,0.13911583069329075,-0.07296537024569254,0.17655491367926085
Nin,head,-0.24702598664944242,0.2461157282860914,0.6218367474874135,0.16049860741415842,0.37816325251258653,0.16608619376304437,0.21766464509842812,0.1041195806127527,-0.13030628049915016,0.19177956368283378
bsk,head,-0.2820787773758946,0.2027320404324033,0.7283396727363207,0.09360191403587748,0.2716603272636793,0.1103057575174773,0.1780584132278018,0.07775168657207705,-0.17451965886235882,0.1792390613387727
bur,head,-0.02950473699346734,0.1939427040563957,0.37880179108747414,0.3062062779020912,0.6211982089125259,0.31242356244742153,0.31499193101043466,0.17619684592772178,-0.015507023685461025,0.14099772509530054
by,head,-0.23572149792772734,0.21517294782512708,0.646072104768546,0.13693105370254471,0.35392789523145396,0.153243501215232,0.21699684152890925,0.10359262421213034,-0.13467151507869995,0.17763081715177687
cact,head,0.06763144266133247,0.1767994232629657,0.2490850611913576,0.4309534959508459,0.5690465040491541,0.2798112543348162,0.31996144285779654,0.17742316521237175,0.036720147046736165,0.1327001623888613
cad,head,-0.3361615791343273,0.318458408593226,0.6296532485208416,0.1736752145094191,0.3703467514791584,0.16249774161847308,0.1966715369697393,0.08996689465504368,-0.14993918634523198,0.22583279418294364
Cam,head,0.4952112092308836,0.13768791334348868,4.010360926426592e-4,0.9973703866284519,0.0026296133715481736,5.584695769901612e-4,0.0022285772789055144,4.902438859137262e-4,0.4300421230554004,0.1304452547811575
capu,head,-0.4750321736434122,0.24203899869155418,0.8565109358722337,0.0475307404471674,0.1434890641277663,0.04881491869958461,0.0959583236805989,0.034002590092626975,-0.2939440141232545,0.2141562614831528
car,head,-0.2127502104894532,0.24339452444482712,0.5860823432914686,0.18094799931816102,0.4139176567085314,0.1867147917829495,0.2329696573903704,0.11531275680917386,-0.11076904176167592,0.18612942592744292
CkIIbeta,head,0.38790961807396984,0.1764183992108817,0.022952890836397746,0.9097266980613754,0.09027330193862466,0.02682657765755849,0.06732041110222692,0.021312799172193614,0.290060754084449,0.1717651489871295
Cat,head,-0.20287707836721935,0.20195705615788379,0.6180781555719713,0.14664171638080845,0.3819218444280287,0.1680471727619619,0.23528012804722023,0.11679373594309382,-0.11688781685164291,0.1665854080285417
Pka-C1,head,0.40460339052722283,0.1687974067232702,0.014567900327225977,0.9378711512766822,0.06212884872331775,0.01643743669541341,0.047560948396091776,0.013346792184753091,0.31429077308573283,0.1649916874311947
Cf2,head,0.010849317509881828,0.20258880078397867,0.3324443092482255,0.35800174864652273,0.6419982513534773,0.3229945572567361,0.30955394210525183,0.175000042563642,0.00562938429569479,0.14597912808727379
cg,head,0.377245523996784,0.16780568671673887,0.019861416891283783,0.9180282217310511,0.08197177826894891,0.023312164358650283,0.06211036137766513,0.019017399018709587,0.2890528170175966,0.1650491399929268
Col4a1,head,0.15199305251963136,0.21472331531939454,0.20086362853788586,0.5354713845326228,0.4645286154673772,0.21830624790797246,0.26366498692949136,0.14287754951990056,0.08168436573921763,0.16491437937798345
ChAT,head,0.059509268458298514,0.2569457479653816,0.3100787088012977,0.4182385532807101,0.5817614467192899,0.28786243471833933,0.2716827379179922,0.15035463858481743,0.02835876941308685,0.17823527295218697
chif,head,-0.48191545718208895,0.26367488320246096,0.823923987673253,0.0632293892212091,0.17607601232674697,0.06414422971259615,0.11284662310553786,0.04243245352860515,-0.2764614782487415,0.22385853933077
chic,head,0.2456357105020599,0.15879115384526168,0.06599425495600578,0.7663306196593104,0.23366938034068968,0.09163655146570476,0.1676751253846839,0.07199797379247608,0.16998836182911453,0.1526889802797547
cl,head,-1.529371394839971,0.3078504200317728,0.999735750166216,6.0204604762232e-5,2.64249833784036e-4,5.1276958090156997e-5,2.04045229021804e-4,3.990672151018968e-5,-1.026152595563748,0.3466287443985061
Chc,head,0.5118469522118079,0.15941170978105726,0.0016957500125270595,0.990896435589064,0.009103564410935985,0.0018135390078567466,0.007407814398408925,0.0015918620256004225,0.4236179859038308,0.15032351555311924
eya,head,-0.3626522709685307,0.2790535268755941,0.697191498307101,0.12665433535132947,0.30280850169289897,0.12586488953678132,0.1761541663415695,0.07660905992635338,-0.1848683095476227,0.21744443730008334
clt,head,-0.19173094575630767,0.2998161309745062,0.5260442299403086,0.23949085725039013,0.47395577005969136,0.22513231223522734,0.23446491280930123,0.1164243531051808,-0.085613779491287,0.20605700453162393
cm,head,-0.22988657267627177,0.2563128861300121,0.5928658050978943,0.18107727074950924,0.4071341949021057,0.18140979694676918,0.22605692415259643,0.10975270939597458,-0.1167610980748792,0.19350192702378508
cni,head,-0.3375350825181678,0.217546729578454,0.7698158096393705,0.079186697666348893,0.23018419036062954,0.08963407297495611,0.15099749269428064,0.06286591011033464,-0.20817113790170877,0.19252585999970312
comt,head,-0.17892961737714597,0.2188046553876626,0.567399146277741,0.18274766617384713,0.432600853722259,0.19721925191525866,0.24985318754841185,0.1295668492319806,-0.09699350393126722,0.17066984635839605
Cp15,head,1.3083317406942063,0.33773691138161693,0.0022293086854626356,0.9921828945988863,0.007817105401113699,0.001605715535069175,0.0055877967156510635,0.0011594774574482949,0.7338547819673042,0.2929337920427706
Cp16,head,1.1256019786770581,0.4070191538037111,0.03173082309478443,0.9163664395564832,0.08363356044351675,0.0241487281071798,0.05190273734873232,0.014944304642163543,0.48021647912531024,0.3018590355201791
Cp18,head,1.0346993051191355,0.4023589348302065,0.04065796601783821,0.895557265549717,0.10444273445028299,0.0326840094724372,0.06378476843244478,0.01994318963278295,0.43814447929940775,0.295166048410544
Cp19,head,0.8828193915221711,0.40067131667415296,0.06459078164247314,0.8437656207299945,0.15623437927000555,0.054440452602000075,0.09164359762753241,0.03243984123526524,0.36086371570664943,0.2861198287236129
Cp36,head,0.9441460107937538,0.3468630594268949,0.02410035920472943,0.9312234647076221,0.06877653529237789,0.01866922883106228,0.044676176087648456,0.012109711689554936,0.4735354488046383,0.27337070096460325
Cp38,head,1.6984174159349723,0.3613547088151819,3.196789253093848e-4,0.9987930787304398,0.001206921269560213,1.9038239112230914e-4,8.872423442508283e-4,1.4164328812170252e-4,1.0715665495530804,0.4452052138135606
crn,head,-0.5108140007288178,0.2751575622458013,0.8265388965816053,0.0633706833617322,0.1734611034183947,0.06341075260204082,0.11009042005666252,0.040844395496816954,-0.2852523178320033,0.23011497198496775
csw,head,0.1956301480630116,0.17388046667608656,0.12009569197194198,0.6468255073020535,0.3531744926979465,0.15266718546573171,0.2330788007260045,0.11539530370249015,0.12066572868273497,0.15200569743667255
cta,head,-0.2939966470855695,0.2377359119752331,0.6855754260904121,0.12335705127434815,0.3144245739095879,0.132373795003083,0.19106752263523974,0.08667592500286703,-0.16399937550701443,0.19499663205562554
CycA,head,0.2755473863084794,0.2651912675298869,0.16067341852043948,0.6309676425654358,0.3690323574345642,0.1616829541686708,0.20835893891412471,0.09690486911698358,0.13989564521292322,0.2024837114085923
CycB,head,0.2397475125659989,0.27939335454089353,0.19458529227325477,0.582497521477515,0.4175024785224851,0.18909681475623877,0.22291718624923035,0.10769205451669964,0.11494669212085425,0.2032967908751365
Cyt-b5-r,head,0.5502260846574138,0.17761579773512642,0.002777618541397537,0.9866189381953284,0.013381061804671489,0.003123166647356151,0.010603443263273952,0.0025514553453725016,0.43679162367831376,0.16563647494147687
D1,head,0.356570686172502,0.170283453504125,0.027306203951499616,0.892793222459495,0.10720677754050503,0.03408714041150671,0.07990057358900542,0.02639476871626134,0.26649471461206464,0.16720981589057649
Dab,head,-0.27883204168168785,0.24953249139081535,0.652768931853507,0.1439905809489268,0.34723106814649296,0.1491949564558677,0.20324048719756616,0.09344116769498247,-0.14852552406920774,0.19731003404813635
Sap-r,head,-0.471408588183571,0.18348250049988873,0.9544340856336299,0.01089697704094783,0.04556591436637014,0.011200394732837194,0.03466893732542231,0.008562169116424729,-0.35964696275316593,0.17491702751372837
SmF,head,0.20571156565203985,0.2521843762340924,0.19371522287559167,0.5706542642624037,0.4293457357375963,0.19548625364670263,0.23563051286200465,0.11744792742877291,0.1042929322828479,0.18885945429861373
dec,head,0.183766706184461,0.4067365187026994,0.29872908888679317,0.48089389681127703,0.519106103188723,0.2502397879827709,0.22037701430192982,0.10591151082860692,0.06223452188315267,0.2391678754342269
Dip-B,head,0.32200529528946475,0.17121887589722248,0.040425045206355786,0.850568540479611,0.14943145952038905,0.05169520650301326,0.10900641431403327,0.040100899241491135,0.23244968466166832,0.16694182367759075
Dip-C,head,-0.007130172187084671,0.21565633030470943,0.3579223710315165,0.34217566031873103,0.6420776289684835,0.3230619596799959,0.2999019686497525,0.1714465766718523,-0.0036327474041324627,0.1539508762656961
disco,head,0.11328487661869246,0.2780154663001306,0.27879040537488053,0.46581710697255085,0.5341828930274491,0.25951043147285946,0.2553924876525686,0.1350609755754369,0.05217754952137631,0.19120059797785804
Dl,head,-0.2978511903441112,0.27438226615172356,0.6426069820762631,0.15620510062869564,0.3573930179237369,0.15488789338413653,0.20118791729504126,0.09198815851385676,-0.14892061128069545,0.20833681912629487
Lar,head,-0.44767687589260374,0.25539379139740376,0.8101935670624602,0.06811769730759634,0.18980643293753985,0.07082060213525981,0.1216887356299435,0.04694557016908121,-0.259692344156888,0.21815435186938603
Cyp6a2,head,-0.2844958802540436,0.326053937743174,0.5833919448243818,0.2054302801167009,0.41660805517561816,0.1887800329444562,0.21117777505891727,0.09953722911228893,-0.12191764152048391,0.22298667625806254
DNaseII,head,0.1440318413327928,0.22362190761723463,0.21564214990166686,0.5196231682784993,0.48037683172150075,0.2286924733666058,0.2647346818198339,0.14391632654916112,0.07558304416609657,0.1683058451292433
dnc,head,0.6758129603930061,0.17837800667376427,3.525716543951358e-4,0.9980560739993595,0.0019439260006404815,3.6508855766747086e-4,0.0015913543462453457,2.996491870907093e-4,0.5423983943449333,0.16297620419683956
Pka-C3,head,-0.15549335726297864,0.21617572702650487,0.5390236584810784,0.1992837344107699,0.46097634151892164,0.21595701970719175,0.26169260710815173,0.1408060287484808,-0.08348917038228944,0.16611270723427557
Dsk,head,0.04507427176451895,0.23929862242908406,0.31440670952102573,0.40328647918431654,0.5967135208156835,0.2959962225661372,0.2823068112946578,0.15967353410828608,0.02216846660682003,0.1684038354875781
dsx,head,-0.4847567896623812,0.2713481620156297,0.8131810881676972,0.06880075624084561,0.18681891183230281,0.06942921918448618,0.1180181555914572,0.045314295075416955,-0.2708643495092253,0.22690942679661605
dx,head,-0.1386732592832054,0.27090307037761496,0.4915947226760989,0.2558697907854847,0.5084052773239012,0.2437867115286278,0.25253548653841645,0.1322347677922888,-0.0653678102716861,0.1899275669536467
ea,head,-0.27046278085032194,0.30730912589458925,0.5868483413797562,0.1989193610982111,0.41315165862024383,0.186156766147218,0.21423229752203274,0.10137847570587531,-0.12155344520546112,0.21594338424709114
eag,head,0.11245340384057512,0.24289342009247888,0.2572311654844118,0.47457968205853346,0.5254203179414666,0.25409006525824634,0.2681891524570548,0.1474339418431022,0.05588588357321757,0.17459625001496806
eas,head,-0.06641093108232488,0.1789643835659268,0.428940967857616,0.2523973269967909,0.5710590321423841,0.281569187063033,0.31866170514559317,0.17700192625806221,-0.035949564566736134,0.13396074300946653
E(bx),head,0.05722393859256192,0.18870278910573854,0.27082814259601734,0.41540706307112124,0.5845929369288788,0.28932516630378147,0.3137647943328615,0.1759903058660521,0.030505435928645467,0.13932359053542545
EcR,head,-0.5269157576811971,0.2325156013252338,0.9096955583537666,0.027220817044234,0.09030444164623341,0.026897581979693476,0.06308362460199941,0.01950518579960801,-0.34679301275792707,0.2102679789853534
ed,head,0.07648570678236855,0.19785344582511583,0.2570951618154703,0.44138109368771794,0.5586189063122821,0.2740905401445521,0.30152374449681174,0.17198682560609285,0.040614108625681315,0.1466446151645986
eEF1alpha2,head,0.32794697409635276,0.17344959574401173,0.040093386536640685,0.8527053997092641,0.14729460029073596,0.05089268135829871,0.10720121375409528,0.03903202417228228,0.23607049626668447,0.16867547256399473
eEF2,head,0.7023751749946578,0.12499393109668572,5.698892819948612e-8,0.9999994203684484,5.796315516535146e-7,1.1230964304857262e-7,5.226426234540285e-7,9.926719713130128e-8,0.6279730307967976,0.11910096679429948
egl,head,-0.15263959918430947,0.2254738845452104,0.5291189669829898,0.21013836957767995,0.47088103301701023,0.222744606794586,0.2607426634393303,0.1399119969026245,-0.08016342460392206,0.1702884359485011
