sample_name	tissue	treatment	plate	Zhat1	Zhat2
Chrom_40_1_b_D7	head	control	Chrom_40_1_h	-0.847173898976782	-4.17405060671581
Chrom_40_2_b_A5	head	control	Chrom_40_2_h	1.53371508936832	-4.5563068878632
Chrom_50_4_b_B6	head	crvi	Chrom_50_4_h	2.29240379339571	-3.75329995829351
Chrom_40_3_b_C9	head	control	Chrom_40_3_h	0.963001150061889	-4.7403136093007
Chrom_40_4_b_D9	head	control	Chrom_40_4_h	1.33975173364005	-5.15292570820807
Chrom_50_3_b_F10	head	crvi	Chrom_50_3_h	1.73935187356627	-5.5734509267631
Chrom_40_4_b_H2	head	control	Chrom_40_4_h	1.51471647342043	-5.46547013261134
Chrom_40_2_b_F3	head	control	Chrom_40_2_h	1.15750434652361	-2.6353214731
Chrom_50_4_b_D5	head	crvi	Chrom_50_4_h	2.11690389075076	-5.51659550117619
Chrom_50_4_b_A6	head	crvi	Chrom_50_4_h	1.99707956131896	-5.47745936624725
Chrom_40_1_b_G10	head	control	Chrom_40_1_h	-0.854944207432695	-4.25238138002292
Chrom_40_4_b_A12	head	control	Chrom_40_4_h	1.14769050133046	-4.48629486945639
Chrom_40_4_b_F6	head	control	Chrom_40_4_h	1.65240461140098	-2.78411406131488
Chrom_50_2_b_C12	head	crvi	Chrom_50_2_h	-0.833577979375222	-4.39110195236912
Chrom_40_2_b_E8	head	control	Chrom_40_2_h	0.730593154089967	-5.02394928464243
Chrom_50_4_b_A12	head	crvi	Chrom_50_4_h	1.42131346237896	-5.57688303605462
Chrom_40_3_b_C12	head	control	Chrom_40_3_h	0.442559091361578	-5.30253566423565
Chrom_40_2_b_G5	head	control	Chrom_40_2_h	0.715727747706809	-4.33517650890762
Chrom_50_1_b_G5	head	crvi	Chrom_50_1_h	2.51241544087748	-4.14762507422902
Chrom_50_1_b_E1	head	crvi	Chrom_50_1_h	0.646424781587897	-5.58775190988608
Chrom_50_1_b_F12	head	crvi	Chrom_50_1_h	0.825330546232921	-4.15276360011557
Chrom_50_3_b_G4	head	crvi	Chrom_50_3_h	0.616532961479095	-4.25059902749754
Chrom_40_2_b_D12	head	control	Chrom_40_2_h	1.6339322804664	-2.38166273810103
Chrom_40_1_b_E4	head	control	Chrom_40_1_h	-0.869282736640647	-4.29885872803215
Chrom_50_2_b_H11	head	crvi	Chrom_50_2_h	-0.458269950089083	-4.4084747535063
Chrom_40_2_b_H10	head	control	Chrom_40_2_h	1.14654508572538	-2.93728751730404
Chrom_50_1_b_C10	head	crvi	Chrom_50_1_h	1.14402762637348	-5.44740738535503
Chrom_50_4_b_H3	head	crvi	Chrom_50_4_h	1.84413036089464	-5.82677594009072
Chrom_50_2_b_E10	head	crvi	Chrom_50_2_h	-0.209949462616058	-4.77388128592383
Chrom_50_2_b_F7	head	crvi	Chrom_50_2_h	2.52069171958519	-5.24540825116035
Chrom_50_1_b_E11	head	crvi	Chrom_50_1_h	1.33602066338952	-5.76372575605079
Chrom_50_3_b_E4	head	crvi	Chrom_50_3_h	2.03270607480835	-3.55185164978182
Chrom_50_2_b_A10	head	crvi	Chrom_50_2_h	-0.647741750204602	-4.40414896905726
Chrom_40_3_b_G2	head	control	Chrom_40_3_h	0.770907054036451	-4.13665694113487
Chrom_50_1_b_G3	head	crvi	Chrom_50_1_h	1.85413697803306	-5.27614205199031
Chrom_50_4_b_C4	head	crvi	Chrom_50_4_h	2.105709305541	-5.46042227670416
Chrom_40_3_b_C2	head	control	Chrom_40_3_h	0.652026270391608	-4.97439048667602
Chrom_50_3_b_C7	head	crvi	Chrom_50_3_h	1.91508178370498	-5.48135072627151
Chrom_40_4_b_E9	head	control	Chrom_40_4_h	1.59955587751279	-2.56920046471799
Chrom_40_3_b_F1	head	control	Chrom_40_3_h	1.26356491990191	-5.28141554061933
Chrom_40_2_b_C9	head	control	Chrom_40_2_h	0.96639176411028	-5.15472425800058
Chrom_40_3_b_G6	head	control	Chrom_40_3_h	1.65424185539766	-3.46687274237953
Chrom_50_1_b_D9	head	crvi	Chrom_50_1_h	1.3386274500209	-5.70381120825499
Chrom_50_1_b_F7	head	crvi	Chrom_50_1_h	1.91623288240646	-5.85959198146658
Chrom_40_2_b_E2	head	control	Chrom_40_2_h	1.09343369848759	-5.39028390098107
Chrom_40_4_b_C7	head	control	Chrom_40_4_h	1.93797381354045	-5.00711409941784
Chrom_50_4_b_A2	head	crvi	Chrom_50_4_h	-0.53567615301157	-4.69262712715371
Chrom_40_2_b_A6	head	control	Chrom_40_2_h	1.83552745465635	-2.42271698474207
Chrom_50_2_b_D8	head	crvi	Chrom_50_2_h	1.73070285899559	-3.25263693104136
Chrom_50_2_b_A6	head	crvi	Chrom_50_2_h	0.226962943776263	-3.79005381248457
Chrom_50_3_b_C11	head	crvi	Chrom_50_3_h	-0.419039226075776	-4.60900207795275
Chrom_50_3_b_G8	head	crvi	Chrom_50_3_h	-0.287528996931389	-4.02069510354154
Chrom_50_1_b_F8	head	crvi	Chrom_50_1_h	-0.361463803357249	-4.58831510751113
Chrom_50_4_b_G11	head	crvi	Chrom_50_4_h	1.65859699266753	-5.7663160242357
Chrom_40_3_b_D4	head	control	Chrom_40_3_h	-0.492883103901803	-4.24810514293447
Chrom_40_1_b_H9	head	control	Chrom_40_1_h	-0.939046916258132	-4.20767844545545
Chrom_50_3_b_B4	head	crvi	Chrom_50_3_h	1.60014993650374	-5.51155967499409
Chrom_50_4_b_E2	head	crvi	Chrom_50_4_h	1.75555586930466	-5.65430858837009
Chrom_50_2_b_B8	head	crvi	Chrom_50_2_h	0.899923337212884	-5.37234345360764
Chrom_40_2_b_H8	head	control	Chrom_40_2_h	1.046266011066	-2.54784527148954
Chrom_50_3_b_F2	head	crvi	Chrom_50_3_h	0.0332020687466232	-4.92368584600621
Chrom_40_2_b_B7	head	control	Chrom_40_2_h	1.48951546534379	-2.21646833963844
Chrom_50_3_b_G11	head	crvi	Chrom_50_3_h	-0.0146806861777892	-4.6740194118337
Chrom_40_3_b_F8	head	control	Chrom_40_3_h	0.451054174287193	-3.1974746664473
Chrom_50_4_b_A8	head	crvi	Chrom_50_4_h	0.546424115046795	-4.96518831759273
Chrom_50_4_b_B10	head	crvi	Chrom_50_4_h	0.762675960089023	-5.38579119351212
Chrom_40_2_b_D10	head	control	Chrom_40_2_h	0.997019294326581	-2.76868117386122
Chrom_40_4_b_D8	head	control	Chrom_40_4_h	1.40005511259819	-4.24596774787917
Chrom_50_1_b_A6	head	crvi	Chrom_50_1_h	2.55129868480465	-4.31477238777546
Chrom_50_1_b_D11	head	crvi	Chrom_50_1_h	1.60736304090498	-4.59630305709298
Chrom_50_4_b_H6	head	crvi	Chrom_50_4_h	1.3871765632156	-3.42245417259446
Chrom_50_1_b_B8	head	crvi	Chrom_50_1_h	1.54992018419681	-4.56371197514351
Chrom_50_2_b_B2	head	crvi	Chrom_50_2_h	-0.635575882477845	-4.38402360023183
Chrom_40_4_b_H3	head	control	Chrom_40_4_h	1.46346773913087	-5.43463024529215
Chrom_50_1_b_A11	head	crvi	Chrom_50_1_h	0.103922402758073	-4.09338081403451
Chrom_40_2_b_E9	head	control	Chrom_40_2_h	0.621410113518231	-5.03755634513276
Chrom_40_3_b_D5	head	control	Chrom_40_3_h	-0.259978132280503	-4.22820447808261
Chrom_40_3_b_D7	head	control	Chrom_40_3_h	1.70685545750761	-2.834505273309
Chrom_40_4_b_A7	head	control	Chrom_40_4_h	0.927544620890079	-4.85492145450399
Chrom_40_3_b_D8	head	control	Chrom_40_3_h	1.3519884512887	-4.80607163951694
Chrom_40_4_b_G11	head	control	Chrom_40_4_h	1.41158685024179	-5.23005264411573
Chrom_50_3_b_E7	head	crvi	Chrom_50_3_h	2.22119070247805	-4.55437066333446
Chrom_50_2_b_F2	head	crvi	Chrom_50_2_h	-0.771176509617333	-4.44417432101737
Chrom_40_4_b_G10	head	control	Chrom_40_4_h	1.644250276591	-4.6603249067354
Chrom_40_4_b_A1	head	control	Chrom_40_4_h	0.78093950567935	-5.63988343801303
Chrom_50_3_b_E11	head	crvi	Chrom_50_3_h	-0.66244120027953	-4.34211927969496
Chrom_40_4_b_D10	head	control	Chrom_40_4_h	1.44683877276402	-4.81316674714867
Chrom_50_3_b_E3	head	crvi	Chrom_50_3_h	1.78278057448438	-5.45997930279669
Chrom_40_3_b_B1	head	control	Chrom_40_3_h	1.87018524490101	-2.74875034104697
Chrom_50_4_b_C11	head	crvi	Chrom_50_4_h	0.075661633855663	-4.04303828282463
Chrom_40_2_b_E10	head	control	Chrom_40_2_h	-0.0133222326411648	-4.78035804529455
Chrom_50_2_b_E4	head	crvi	Chrom_50_2_h	2.05102866700182	-1.79892705173161
Chrom_50_2_b_A5	head	crvi	Chrom_50_2_h	-0.338091429202516	-4.719080021974
Chrom_40_1_b_G8	head	control	Chrom_40_1_h	-0.650090919829323	-4.58997593536417
Chrom_40_3_b_G10	head	control	Chrom_40_3_h	1.59834491114685	-4.21206486409092
Chrom_50_4_b_G8	head	crvi	Chrom_50_4_h	1.87106606790931	-5.64212780018769
