sample_name	tissue	treatment	plate
Chrom_50_1_h_D1	head	crvi	Chrom_50_1_h
Chrom_40_2_h_A2	head	control	Chrom_40_2_h
Chrom_40_3_h_D1	head	control	Chrom_40_3_h
Chrom_40_1_h_G1	head	control	Chrom_40_1_h
Chrom_40_2_h_C3	head	control	Chrom_40_2_h
Chrom_50_3_h_E2	head	crvi	Chrom_50_3_h
Chrom_50_4_h_A9	head	crvi	Chrom_50_4_h
Chrom_40_2_h_G8	head	control	Chrom_40_2_h
Chrom_40_1_h_H9	head	control	Chrom_40_1_h
Chrom_50_1_h_E6	head	crvi	Chrom_50_1_h
Chrom_50_3_h_G2	head	crvi	Chrom_50_3_h
Chrom_50_1_h_A11	head	crvi	Chrom_50_1_h
Chrom_40_1_h_G2	head	control	Chrom_40_1_h
Chrom_50_1_h_A4	head	crvi	Chrom_50_1_h
Chrom_40_2_h_G5	head	control	Chrom_40_2_h
Chrom_50_4_h_E10	head	crvi	Chrom_50_4_h
Chrom_40_4_h_A11	head	control	Chrom_40_4_h
Chrom_40_1_h_C1	head	control	Chrom_40_1_h
Chrom_50_1_h_G1	head	crvi	Chrom_50_1_h
Chrom_50_4_h_D2	head	crvi	Chrom_50_4_h
Chrom_40_4_h_E3	head	control	Chrom_40_4_h
Chrom_40_4_h_H12	head	control	Chrom_40_4_h
Chrom_40_4_h_C4	head	control	Chrom_40_4_h
Chrom_40_3_h_H5	head	control	Chrom_40_3_h
