Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
Abl,head,-0.0691127635999571,0.09779343896417003,0.01979301608100048,0.008123255465632084,0.9802069839189995,0.9370220668701128,0.9720837284533674,0.9373429268018686,-0.0012373407366737881,0.01524440727288826
Ace,head,-0.022603107073918993,0.09170366176657506,0.013521936435051507,0.00991345085815043,0.9864780635649485,0.9568018293838034,0.9765646127067981,0.9489025747076427,-3.4255812987564715e-4,0.011533465545955883
Acph-1,head,0.04450455409038684,0.11471155356719483,0.01060816544854759,0.016819589822695824,0.9831804101773042,0.9469940071787047,0.9725722447287566,0.939587133361981,7.144595352731144e-4,0.015261485699007774
nAChRalpha1,head,-0.13256995142196604,0.12299303166155078,0.029778416251339146,0.00806312617451077,0.9702215837486609,0.9008607300522636,0.9621584575741501,0.8922929989311605,-0.0030047761236493093,0.02481928456608179
nAChRbeta1,head,-0.06727595510613182,0.09341614847667128,0.019582974312971624,0.007809387389747124,0.9804170256870284,0.9376711996945604,0.9726076382972813,0.9396881142943075,-0.0012061803006602064,0.014668264119747256
Act5C,head,0.03144887361467895,0.06804118491665422,0.0070634531328395145,0.013240259111853336,0.9867597408881467,0.9574282713813705,0.9796962877553071,0.9507780720496635,4.6821347672215983e-4,0.008961799935077194
Act42A,head,0.04865184273233514,0.09314495579379933,0.008615159471816791,0.016680921013407124,0.9833190789865929,0.9474290628228575,0.9747039195147761,0.9460055073232045,7.978881648089001e-4,0.013047670024575067
Act57B,head,-0.3114340056784798,0.10316258604307282,0.4092892531459589,0.0023206712166979893,0.5907107468540411,0.26531596792412915,0.5883900756373431,0.26416441724849954,-0.10447274250151328,0.14203910843965128
Act79B,head,0.14113216996015,0.14922072006105958,0.009685047637740252,0.028106485516336432,0.9718935144836636,0.907853876067926,0.9622084668459233,0.8926282382446408,0.0028554689391589298,0.026650555220027943
Act87E,head,-0.2710510886954912,0.12561440344423905,0.10414567386014173,0.005240614310669134,0.8958543261398583,0.6710654541654137,0.8906137118291891,0.6676788958359615,-0.020644085945328832,0.07125007937429154
Gart,head,-0.08823528968419882,0.10723523143842778,0.022705469803445344,0.008202714150647883,0.9772945301965547,0.9269607804918188,0.9690918160459068,0.9233219327572617,-0.0016941195197549982,0.018049242800744398
adp,head,-0.10301027473273497,0.12629310003963715,0.0240429295860225,0.009196134252458021,0.9759570704139775,0.9228159321817487,0.9667609361615195,0.9132498385169809,-0.0019690288715342266,0.02100935417505693
